# Power Measurement Data
# Date: 2026-08-04 16:09:50
# Microscope: Timelapse2
# Channel Group: Epifluorescence-Channel
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,DAPI Ex 390-20_Power(W),DAPI Ex 390-20_StdDev,CFP em458-480_Power(W),CFP em458-480_StdDev,FITC Ex 470-24_Power(W),FITC Ex 470-24_StdDev,YFP Em518-519_Power(W),YFP Em518-519_StdDev,Cy3 Ex 550-15_Power(W),Cy3 Ex 550-15_StdDev,Cy5 Ex 640-30_Power(W),Cy5 Ex 640-30_StdDev
0.000000,0.000001802,0.000000008,0.000001120,0.000000006,0.000001085,0.000000005,0.000000965,0.000000005,0.000000900,0.000000004,0.000000770,0.000000015
4.166667,0.002221100,0.000006935,0.002267000,0.000001095,0.002623900,0.000000831,0.000597190,0.000000274,0.000943960,0.000001132,0.000688410,0.000000550
8.333333,0.004690800,0.000003736,0.004604100,0.000001221,0.004785000,0.000000632,0.001391600,0.000000663,0.003240200,0.000002441,0.001504800,0.000000400
12.500000,0.007065900,0.000002119,0.006760800,0.000001166,0.006950900,0.000000943,0.002165600,0.000000663,0.005415600,0.000003169,0.002292900,0.000000539
16.666667,0.009404800,0.000002638,0.008803600,0.000004800,0.008988700,0.000005120,0.002873700,0.000000781,0.007518700,0.000004314,0.003096500,0.000000500
20.833333,0.011890000,0.000010000,0.010881000,0.000005385,0.011108000,0.000006000,0.003587600,0.000000490,0.009801100,0.000009321,0.003996600,0.000000663
25.000000,0.014525000,0.000010247,0.013046000,0.000006633,0.013279000,0.000005385,0.004294200,0.000000400,0.012234000,0.000009165,0.005004400,0.000000490
29.166667,0.016680000,0.000006325,0.014744000,0.000004899,0.015009000,0.000005385,0.004832200,0.000000600,0.014255000,0.000008062,0.005873200,0.000004214
33.333333,0.018937000,0.000010050,0.016489000,0.000005385,0.016802000,0.000004000,0.005373500,0.000000671,0.016447000,0.000006403,0.006811500,0.000004153
37.500000,0.020969000,0.000008307,0.017992000,0.000006000,0.018344000,0.000004899,0.005833400,0.000000800,0.018398000,0.000007483,0.007670000,0.000003162
41.666667,0.022956000,0.000006633,0.019444000,0.000004899,0.019833000,0.000006403,0.006264200,0.000000400,0.020337000,0.000011000,0.008550500,0.000002460
45.833333,0.024888000,0.000010770,0.020817000,0.000006403,0.021241000,0.000008307,0.006673100,0.000000700,0.022237000,0.000004583,0.009432300,0.000003002
50.000000,0.027360000,0.000006325,0.022527000,0.000006403,0.022981000,0.000009434,0.007171200,0.000000600,0.024658000,0.000009798,0.010582000,0.000004000
54.166667,0.029208000,0.000011662,0.023775000,0.000006708,0.024245000,0.000009220,0.007539600,0.000005607,0.026482000,0.000006000,0.011474000,0.000004899
58.333333,0.031022000,0.000008718,0.024989000,0.000007000,0.025438000,0.000006000,0.007881000,0.000012008,0.028278000,0.000007483,0.012490000,0.000004472
62.500000,0.032930000,0.000004472,0.026259000,0.000011358,0.026706000,0.000006633,0.008240900,0.000004826,0.030208000,0.000006000,0.013419000,0.000003000
66.666667,0.034620000,0.000012649,0.027366000,0.000010198,0.027788000,0.000006000,0.008551200,0.000004331,0.031901000,0.000005385,0.014271000,0.000003000
70.833333,0.036240000,0.000018974,0.028419000,0.000007000,0.028818000,0.000006000,0.008856300,0.000006388,0.033552000,0.000007483,0.015135000,0.000006708
75.000000,0.038350000,0.000010000,0.029734000,0.000006633,0.030122000,0.000006000,0.009228800,0.000003842,0.035630000,0.000007746,0.016279000,0.000003000
79.166667,0.039929000,0.000009434,0.030704000,0.000008000,0.031060000,0.000006325,0.009509000,0.000004919,0.037169000,0.000011358,0.017151000,0.000003000
83.333333,0.041443000,0.000009000,0.031641000,0.000005385,0.031956000,0.000004899,0.009777800,0.000004468,0.038660000,0.000014832,0.018011000,0.000005385
87.500000,0.042925000,0.000008062,0.032520000,0.000004472,0.032820000,0.000007746,0.010042000,0.000004000,0.040079000,0.000017000,0.018875000,0.000005000
91.666667,0.044523000,0.000007810,0.033481000,0.000009434,0.033723000,0.000010050,0.010325000,0.000005000,0.041611000,0.000023000,0.019805000,0.000006708
95.833333,0.045960000,0.000013416,0.034310000,0.000008944,0.034516000,0.000010198,0.010574000,0.000006633,0.042931000,0.000024269,0.020641000,0.000003000
100.000000,0.047774000,0.000018547,0.035305000,0.000006708,0.035494000,0.000006633,0.010874000,0.000004899,0.044529000,0.000031448,0.021708000,0.000007483
