# Power Measurement Data
# Date: 2026-08-06 15:05:19
# Microscope: CSUW1
# Channel Group: Confocal Channel
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,405-DAPI_Power(W),405-DAPI_StdDev,488-GFP_Power(W),488-GFP_StdDev,561-RFP_Power(W),561-RFP_StdDev,640-Cy5_Power(W),640-Cy5_StdDev,785-NIR_Power(W),785-NIR_StdDev
0.000000,0.000001748,0.000000007,0.000001349,0.000000010,0.000199530,0.000004303,0.000000955,0.000000006,0.000000761,0.000000003
0.208333,0.000054846,0.000001417,0.000184050,0.000004648,0.000331800,0.000015805,0.000185030,0.000005076,0.000004378,0.000000262
0.416667,0.000125090,0.000004078,0.000435030,0.000010731,0.000450680,0.000014360,0.000453300,0.000013039,0.000051830,0.000001742
0.625000,0.000180060,0.000009802,0.000655350,0.000023620,0.000535000,0.000017643,0.000652630,0.000021676,0.000101947,0.000003565
0.833333,0.000243560,0.000009765,0.000908140,0.000027659,0.000672500,0.000014955,0.000892840,0.000029291,0.000168290,0.000005936
1.041667,0.000319740,0.000006849,0.001146100,0.000028012,0.000784030,0.000029464,0.001114100,0.000040106,0.000205200,0.000032895
1.250000,0.000374120,0.000015919,0.001298000,0.000045795,0.000967370,0.000041541,0.001370200,0.000035019,0.000279010,0.000005602
1.458333,0.000454340,0.000012126,0.001549400,0.000064511,0.001166300,0.000036802,0.001620500,0.000059456,0.000328790,0.000010459
1.666667,0.000537380,0.000014822,0.001711300,0.000142281,0.001333700,0.000034404,0.001867500,0.000067655,0.000386400,0.000007045
1.875000,0.000601740,0.000007580,0.001994600,0.000064613,0.001508600,0.000065263,0.002095300,0.000047729,0.000421000,0.000017463
2.083333,0.000664970,0.000018899,0.002269500,0.000075430,0.001692800,0.000089826,0.002374100,0.000027076,0.000492720,0.000017087
2.291667,0.000714680,0.000053610,0.002549100,0.000085403,0.001843700,0.000086907,0.002587500,0.000078664,0.000493380,0.000024658
2.500000,0.000795780,0.000017144,0.002785600,0.000091778,0.002094300,0.000049677,0.002822400,0.000062942,0.000559620,0.000016439
2.708333,0.000860580,0.000023157,0.003034400,0.000054743,0.002194900,0.000099438,0.003113800,0.000073904,0.000589670,0.000020480
2.916667,0.000965090,0.000019469,0.003312800,0.000070911,0.002430900,0.000070158,0.003393000,0.000126418,0.000644630,0.000021925
3.125000,0.001006990,0.000034665,0.003556700,0.000082571,0.002580000,0.000083951,0.003671300,0.000130633,0.000664410,0.000025592
3.333333,0.001113300,0.000018407,0.003792200,0.000106357,0.002695900,0.000136038,0.004007500,0.000060298,0.000725730,0.000015873
3.541667,0.001152600,0.000038846,0.004043000,0.000120810,0.002959300,0.000121866,0.004246200,0.000109978,0.000741720,0.000032634
3.750000,0.001227210,0.000088480,0.004317000,0.000120080,0.003193800,0.000111745,0.004370300,0.000276433,0.000780350,0.000037274
3.958333,0.001266680,0.000138118,0.004578900,0.000086003,0.003429800,0.000046465,0.004710500,0.000079521,0.000842620,0.000024345
4.166667,0.001361800,0.000048220,0.004750900,0.000167460,0.003567700,0.000113590,0.004820100,0.000230843,0.000871620,0.000031261
4.375000,0.001445000,0.000108083,0.005056100,0.000190467,0.003659800,0.000164839,0.005056000,0.000220028,0.000902930,0.000035900
4.583333,0.001557900,0.000017975,0.005345400,0.000144116,0.003930700,0.000114042,0.005320100,0.000193419,0.001024960,0.000037701
4.791667,0.001621800,0.000035332,0.005528500,0.000175840,0.004015000,0.000142658,0.005595300,0.000090415,0.001166400,0.000035214
5.000000,0.001585100,0.000070409,0.005596800,0.000178160,0.004131200,0.000228428,0.005606900,0.000155294,0.001158700,0.000029655
