# Power Measurement Data
# Date: 2026-08-04 15:51:36
# Microscope: TIRF
# Channel Group: Channels-Andor
# Power Meter: ThorlabsPM100
# Measurements per point: 10
# Stabilization delay: 1000 ms
# Measurement delay: 100 ms
#
Voltage,405-DAPI_Power(W),405-DAPI_StdDev,488_Power(W),488_StdDev,561_Power(W),561_StdDev,647_Power(W),647_StdDev
0.000000,0.000001716,0.000000003,0.000001621,0.000000001,0.000004585,0.000000013,0.000001051,0.000000006
0.208333,0.000012772,0.000000012,0.000073990,0.000000082,0.000275390,0.000000217,0.000289550,0.000001116
0.416667,0.000040392,0.000000067,0.000281170,0.000000279,0.000992690,0.000000534,0.001126100,0.000002119
0.625000,0.000083522,0.000000019,0.000615190,0.000000730,0.002131800,0.000001077,0.002482500,0.000002110
0.833333,0.000142600,0.000000126,0.001078300,0.000001735,0.003702900,0.000001300,0.004385700,0.000000900
1.041667,0.000215400,0.000000118,0.001662600,0.000001908,0.005662900,0.000002587,0.006806700,0.000003874
1.250000,0.000301370,0.000000135,0.002346200,0.000001166,0.007987600,0.000004499,0.009703200,0.000007547
1.458333,0.000397620,0.000000178,0.003138400,0.000003955,0.010596000,0.000012000,0.013148000,0.000011662
1.666667,0.000504830,0.000000100,0.004016700,0.000004051,0.013518000,0.000011662,0.017078000,0.000023580
1.875000,0.000619570,0.000000142,0.004956200,0.000003544,0.016697000,0.000011874,0.021389000,0.000019209
2.083333,0.000738410,0.000000295,0.005974300,0.000004001,0.020088000,0.000020396,0.026143000,0.000028302
2.291667,0.000862700,0.000000173,0.007032800,0.000009020,0.023699000,0.000033000,0.031261000,0.000040112
2.500000,0.000988740,0.000000301,0.008118300,0.000013580,0.027469000,0.000058558,0.036700000,0.000064498
2.708333,0.001112000,0.000000894,0.009221500,0.000011281,0.031269000,0.000069347,0.042396000,0.000057480
2.916667,0.001233200,0.000001077,0.010316000,0.000014967,0.035204000,0.000082849,0.048103000,0.000068564
3.125000,0.001353100,0.000001044,0.011374000,0.000017436,0.039151000,0.000091918,0.053960000,0.000065574
3.333333,0.001465400,0.000001428,0.012413000,0.000022825,0.042969000,0.000109220,0.059480000,0.000071554
3.541667,0.001568100,0.000000700,0.013394000,0.000019079,0.046679000,0.000145908,0.064720000,0.000054772
3.750000,0.001663800,0.000001470,0.014335000,0.000023345,0.050197000,0.000149670,0.069607000,0.000075372
3.958333,0.001748200,0.000001400,0.015198000,0.000022716,0.053432000,0.000191092,0.074107000,0.000036069
4.166667,0.001820100,0.000001136,0.015985000,0.000013601,0.056102000,0.000133026,0.078136000,0.000055714
4.375000,0.001880100,0.000000943,0.016635000,0.000012042,0.058020000,0.000101292,0.081499000,0.000058558
4.583333,0.001926300,0.000001100,0.017175000,0.000016279,0.059137000,0.000054964,0.084240000,0.000089889
4.791667,0.001956800,0.000000748,0.017592000,0.000032496,0.059525000,0.000052583,0.086415000,0.000045662
5.000000,0.001974400,0.000001114,0.017901000,0.000015780,0.059235000,0.000023770,0.087992000,0.000050359
